ay_no,ay,aktif_isletme,odeyen_isletme,yeni_isletme,churn_isletme,esnaf,pro,zincir,mrr,arpu,abonelik_geliri,kurulum_geliri,referans_indirimi,toplam_gelir,cogs_altyapi,cogs_llm,cogs_sms,cogs_waba,cogs_psp,cogs_efatura,cogs_destek_personel,cogs_toplam,brut_kar,brut_marj,opex_kurucular,opex_arge_personel,opex_satis_pazarlama,opex_bayi_komisyonu,opex_genel_yonetim,opex_beklenmeyen,opex_toplam,ebitda,yillik_pesin_nakit_farki,net_nakit_akisi,kumulatif_nakit,nakit_bakiyesi,pist_ay,doviz_gider,doviz_gider_orani,kisi_sayisi,gelistirici,destek,saha,kur
1,2026-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2904,0,0,0,0,0,0,2904,-2904,,150000,350000,20000,0,163488,18349,701837,-704741,0,-704741,-704741,32833784,46.5899,16650,,4,2,0,0,48.4
2,2026-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2948,0,0,0,0,0,0,2948,-2948,,150000,350000,26188,0,73875,10006,610069,-613018,0,-613018,-1317759,32220767,48.9024,16904,,4,2,0,0,49.1
3,2026-12,10.0,0.0,0.0,0.0,3.0,7.0,0.0,0,0,0,0,0,0,4490,0,149,20,0,0,0,4660,-4660,,150000,350000,18163,0,111769,12993,642925,-647585,0,-647585,-1965344,31573181,48.1949,17782,,4,2,0,0,49.9
4,2027-01,10.0,0.0,0.0,0.0,3.0,7.0,0.0,0,0,0,0,0,0,4559,0,152,20,0,1586,0,6318,-6318,,187500,656250,10574,0,293065,30364,1177752,-1184070,0,-1184070,-3149414,30389112,37.2922,22107,,5,3,0,0,50.7
5,2027-02,22.0,0.0,12.0,0.0,7.4,14.6,0.0,0,0,0,0,0,0,6481,0,331,45,0,1616,75000,83472,-83472,,187500,656250,101073,0,53578,6715,1005116,-1088589,0,-1088589,-4238002,29300523,30.1008,31440,,7,3,1,1,51.4
6,2027-03,45.0,20.0,25.0,2.0,16.0,29.0,0.0,21240,1062,18728,0,2512,18728,13428,0,678,94,531,1646,75000,91377,-72649,-3.8791,187500,656250,164782,0,56573,9636,1074741,-1147389,0,-1147389,-5385392,28153133,24.6954,36797,1.9648,7.5,3,1,1,52.2
7,2027-04,69.0,44.0,25.0,1.0,24.9,44.1,0.0,46345,1053,41112,0,5233,41112,22723,0,1055,146,1159,1677,75000,101759,-60647,-1.4752,187500,656250,165529,0,57527,9806,1076611,-1137258,0,-1137258,-6522650,27015875,24.0267,41047,0.9984,7.5,3,1,1,53.0
8,2027-05,91.8,66.8,25.0,2.2,33.3,58.5,0.0,70195,1051,64962,0,5233,64962,31837,7240,1427,198,1755,1709,75000,119165,-54203,-0.8344,187500,656250,166289,0,58496,9979,1078514,-1132717,0,-1132717,-7655367,25883158,22.7220,52471,0.8077,7.5,3,1,1,53.8
9,2027-06,113.5,88.5,25.0,3.3,41.3,72.1,0.0,92852,1050,87619,11940,5233,99559,37917,9067,1794,248,2620,1741,75000,128387,-28828,-0.2896,187500,656250,279564,0,63855,10592,1197761,-1226589,0,-1226589,-8881955,24656570,21.1550,61648,0.7036,8.5,3,1,1,54.7
10,2027-07,159.0,109.0,50.0,4.4,57.2,99.3,2.5,121853,1118,111312,29850,10542,141162,46717,13633,2679,353,4540,1773,150000,219695,-78533,-0.5563,187500,656250,578231,2019,73803,32703,1528488,-1607021,65792,-1541230,-10423185,23115340,17.7786,79286,0.7123,10.5,3,2,2,55.5
11,2027-08,233.8,153.8,80.0,5.2,83.3,144.0,6.5,204837,1332,176802,47760,28035,224562,61129,21188,4147,527,8502,1807,150000,247298,-22736,-0.1012,187500,656250,445473,7262,75027,19550,1383800,-1406536,199609,-1206927,-11630113,21908412,16.5357,93493,0.5288,10.5,3,2,2,56.3
12,2027-09,327.0,227.0,100.0,6.8,115.9,199.7,11.4,337873,1488,293017,59700,44856,352717,77567,30781,6020,748,13061,1840,225000,355018,-2301,-0.0065,187500,750000,569097,15496,87713,24431,1618741,-1621042,304273,-1316769,-12946882,20591643,15.1971,122049,0.4165,13.0,3,3,3,57.2
13,2027-10,437.5,317.5,120.0,9.5,154.5,265.9,17.2,501263,1579,445193,71640,56070,516833,92052,42397,8300,1016,17631,1875,300000,463271,53562,0.1036,187500,750000,608038,25538,93800,28934,1668271,-1614709,356605,-1258104,-14204986,19333539,15.3368,145284,0.3263,14.0,3,4,3,58.1
14,2027-11,564.8,424.8,140.0,12.8,199.0,342.1,23.8,693864,1633,626580,83580,67284,710160,109004,56059,10995,1332,22744,1910,375000,577045,133115,0.1874,187500,750000,737254,37321,104770,34202,1813727,-1680612,401461,-1279151,-15484138,18054387,14.0537,176474,0.2816,16.0,3,5,4,59.0
15,2027-12,688.2,548.2,140.0,16.6,242.1,416.0,30.1,914588,1668,836090,83580,78498,919670,125975,69727,13709,1648,28075,1946,375000,616081,303589,0.3301,187500,750000,754466,50780,106475,36094,1834536,-1530947,438841,-1092106,-16576244,16962281,14.0209,198402,0.2373,16.0,3,5,4,59.9
16,2028-01,807.1,667.1,140.0,21.0,283.7,487.2,36.3,1361330,2041,1282832,104475,78498,1387307,142884,83334,16430,1963,40093,1983,562500,849186,538121,0.3879,234375,937500,909326,76817,443500,72783,2597484,-2059363,530422,-1528941,-18105185,15433340,11.8712,225123,0.1755,17.0,3,6,4,60.8
17,2028-02,934.5,794.5,140.0,12.6,328.2,563.5,42.7,1644382,2070,1546260,104475,98122,1650735,161357,98203,19419,2307,45534,2020,468750,797590,853144,0.5168,234375,937500,930325,93921,109971,41530,2253700,-1400556,465007,-935549,-19040734,14497791,12.2289,244053,0.1578,16.0,3,5,4,61.7
18,2028-03,1059.6,919.6,140.0,14.9,372.0,638.5,49.1,1928470,2097,1830347,104475,98122,1934822,180543,113257,22465,2656,51001,2058,468750,840730,1094092,0.5655,234375,937500,951068,110697,111761,43783,2278488,-1184395,399592,-784803,-19825537,13712988,12.6609,268340,0.1466,16.0,3,5,4,62.7
19,2028-04,1182.4,1042.4,140.0,17.2,414.9,712.2,55.3,2208802,2119,2110680,104475,98122,2215155,200499,128501,25570,3009,56374,2096,562500,978549,1236606,0.5582,234375,937500,971565,127150,118671,46524,2308635,-1072028,334177,-737851,-20563389,12975137,15.8349,298237,0.1413,17.0,3,6,4,63.6
20,2028-05,1303.0,1163.0,140.0,19.4,457.1,784.5,61.4,2483978,2136,2385855,104475,98122,2490330,220711,143940,28734,3367,61618,2136,562500,1023005,1467325,0.5892,234375,937500,991824,143291,120599,48742,2333040,-865715,268762,-596953,-21160341,12378184,17.5195,323444,0.1356,17.0,3,6,4,64.6
21,2028-06,1421.5,1281.5,140.0,21.5,498.6,855.5,67.5,2754131,2149,2656008,104475,98122,2760483,241186,159578,31959,3729,66737,2176,656250,1161615,1598868,0.5792,234375,937500,1011854,159127,127806,51466,2363001,-764134,203347,-560787,-21721128,11817397,18.7024,354227,0.1334,18.0,3,7,4,65.6
22,2028-07,1536.1,1396.1,140.0,25.4,538.6,924.1,73.4,3011050,2157,2912928,104475,98122,3017403,261661,175243,35210,4092,72264,2217,656250,1206936,1810466,0.6000,234375,937500,1029997,172995,129878,53488,2385238,-574772,195847,-378925,-22100053,11438472,22.3311,379890,0.1304,18.0,3,7,4,66.6
23,2028-08,1646.1,1506.1,140.0,30.0,577.1,990.0,78.9,3259091,2164,3160969,104475,98122,3265444,282024,190780,38458,4452,78481,2258,750000,1346453,1918991,0.5877,234375,937500,1045104,183747,137393,55750,2410121,-491130,259024,-232107,-22332160,11206365,28.6897,410808,0.1300,19.0,3,8,4,67.6
24,2028-09,1751.7,1611.7,140.0,34.3,614.1,1053.4,84.3,3500987,2172,3402864,104475,98122,3507339,302301,206244,41714,4810,84478,2301,750000,1391847,2115492,0.6032,234375,937500,1057232,191439,139616,57185,2425908,-310416,315318,4902,-22327258,11211267,55.4894,436315,0.1282,19.0,3,8,4,68.6
