ay_no,ay,aktif_isletme,odeyen_isletme,yeni_isletme,churn_isletme,esnaf,pro,zincir,mrr,arpu,abonelik_geliri,kurulum_geliri,referans_indirimi,toplam_gelir,cogs_altyapi,cogs_llm,cogs_sms,cogs_waba,cogs_psp,cogs_efatura,cogs_destek_personel,cogs_toplam,brut_kar,brut_marj,opex_kurucular,opex_arge_personel,opex_satis_pazarlama,opex_bayi_komisyonu,opex_genel_yonetim,opex_beklenmeyen,opex_toplam,ebitda,yillik_pesin_nakit_farki,net_nakit_akisi,kumulatif_nakit,nakit_bakiyesi,pist_ay,doviz_gider,doviz_gider_orani,kisi_sayisi,gelistirici,destek,saha,kur
1,2026-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2904,0,0,0,0,0,0,2904,-2904,,150000,350000,20000,0,163488,18349,701837,-704741,0,-704741,-704741,33648729,47.7462,16650,,4,2,0,0,48.4
2,2026-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2948,0,0,0,0,0,0,2948,-2948,,150000,350000,26188,0,73875,10006,610069,-613018,0,-613018,-1317759,33035712,50.1392,16904,,4,2,0,0,49.1
3,2026-12,6.0,0.0,0.0,0.0,1.8,4.2,0.0,0,0,0,0,0,0,3892,0,90,12,0,0,0,3993,-3993,,150000,350000,15049,0,111769,12682,639500,-643494,0,-643494,-1961252,32392218,49.5483,17535,,4,2,0,0,49.9
4,2027-01,6.0,0.0,0.0,0.0,1.8,4.2,0.0,0,0,0,0,0,0,3951,0,91,12,0,1586,0,5641,-5641,,187500,437500,10574,0,289012,29959,954544,-960185,0,-960185,-2921437,31432033,42.5390,17803,,4,2,0,0,50.7
5,2027-02,12.0,0.0,6.0,0.0,4.6,7.4,0.0,0,0,0,0,0,0,4938,0,173,25,0,1616,75000,81751,-81751,,187500,437500,94286,0,49464,5625,774375,-856127,0,-856127,-3777564,30575906,37.2906,26687,,6,2,1,1,51.4
6,2027-03,19.6,9.6,10.0,2.4,8.5,11.1,0.0,9865,1028,8673,0,1192,8673,6204,0,275,41,247,1646,75000,83413,-74739,-8.6171,187500,437500,109997,0,50307,7280,792585,-867324,0,-867324,-4644888,29708582,33.2108,27588,3.1808,6,2,1,1,52.2
7,2027-04,29.0,19.0,10.0,0.6,12.9,16.1,0.0,19205,1010,17219,0,1986,17219,7798,0,411,62,480,1677,75000,85427,-68208,-3.9612,187500,437500,110420,0,51164,7408,793992,-862201,0,-862201,-5507088,28846382,33.4690,28630,1.6627,6,2,1,1,53.0
8,2027-05,37.9,27.9,10.0,1.1,17.1,20.8,0.0,27985,1004,25999,0,1986,25999,11106,0,544,82,700,1709,75000,89139,-63140,-2.4286,187500,437500,110850,0,52036,7539,795425,-858565,0,-858565,-6365653,27987817,32.4423,30363,1.1679,6,2,1,1,53.8
9,2027-06,46.2,36.2,10.0,1.7,20.9,25.3,0.0,36238,1001,34252,0,1986,34252,14526,0,674,101,906,1741,75000,92948,-58696,-1.7137,187500,437500,111288,0,52924,7671,796883,-855579,0,-855579,-7221232,27132238,31.5939,32146,0.9385,6,2,1,1,54.7
10,2027-07,64.0,44.0,20.0,2.2,29.2,34.8,0.0,43996,999,42009,0,1986,42009,21815,4440,948,142,1100,1773,75000,105219,-63209,-1.5046,187500,437500,124147,0,53826,9047,812021,-875230,0,-875230,-8096463,26257008,30.4209,39945,0.9509,6,2,1,1,55.5
11,2027-08,81.4,61.4,20.0,2.6,37.3,44.1,0.0,61220,997,57247,0,3973,57247,29135,5711,1225,183,1531,1807,75000,114591,-57343,-1.0017,187500,437500,124835,0,54744,9208,813788,-871131,0,-871131,-8967594,25385877,29.2696,44592,0.7789,6,2,1,1,56.3
12,2027-09,97.7,77.7,20.0,3.7,44.9,52.8,0.0,77411,996,73438,5731,3973,79170,36248,6945,1497,224,2079,1840,75000,123832,-44663,-0.5641,187500,437500,161196,0,57967,9416,853578,-898241,0,-898241,-9865834,24487636,27.7784,51414,0.7001,6.5,2,1,1,57.2
13,2027-10,128.0,93.0,35.0,4.7,58.5,68.5,1.1,96172,1034,88987,20895,7185,109882,43046,9567,2050,297,3199,1875,75000,135035,-25153,-0.2289,187500,437500,181210,1053,58952,11516,876677,-901830,23973,-877857,-10743691,23609779,26.7560,57284,0.6437,6.5,2,1,1,58.1
14,2027-11,157.6,122.6,35.0,5.5,71.8,83.7,2.1,145818,1190,128541,20895,17277,149436,49365,12208,2612,372,5265,1910,150000,221732,-72296,-0.4838,187500,437500,184675,3484,64671,12435,886781,-959077,99177,-859899,-11603591,22749879,25.8914,67707,0.5267,7.5,2,2,1,59.0
15,2027-12,185.8,150.8,35.0,6.8,84.4,98.3,3.1,193038,1280,175761,20895,17277,196656,55605,14811,3169,445,6215,1946,150000,232191,-35535,-0.1807,187500,437500,188040,5793,65763,12880,891682,-927217,89963,-837254,-12440845,21912625,25.5292,73421,0.4177,7.5,2,2,1,59.9
