ay_no,ay,aktif_isletme,odeyen_isletme,yeni_isletme,churn_isletme,esnaf,pro,zincir,mrr,arpu,abonelik_geliri,kurulum_geliri,referans_indirimi,toplam_gelir,cogs_altyapi,cogs_llm,cogs_sms,cogs_waba,cogs_psp,cogs_efatura,cogs_destek_personel,cogs_toplam,brut_kar,brut_marj,opex_kurucular,opex_arge_personel,opex_satis_pazarlama,opex_bayi_komisyonu,opex_genel_yonetim,opex_beklenmeyen,opex_toplam,ebitda,yillik_pesin_nakit_farki,net_nakit_akisi,kumulatif_nakit,nakit_bakiyesi,pist_ay,doviz_gider,doviz_gider_orani,kisi_sayisi,gelistirici,destek,saha,kur
1,2026-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2904,0,0,0,0,0,0,2904,-2904,,150000,350000,20000,0,163488,18349,701837,-704741,0,-704741,-704741,34327249,48.7090,16650,,4,2,0,0,48.4
2,2026-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2948,0,0,0,0,0,0,2948,-2948,,150000,350000,26188,0,73875,10006,610069,-613018,0,-613018,-1317759,33714232,51.1691,16904,,4,2,0,0,49.1
3,2026-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2994,0,0,0,0,0,0,2994,-2994,,150000,350000,10379,0,74269,8465,593113,-596106,0,-596106,-1913865,33118125,51.9130,17163,,4,2,0,0,49.9
4,2027-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3039,0,0,0,0,0,0,3039,-3039,,187500,437500,10574,0,24669,3524,663767,-666807,0,-666807,-2580671,32451319,51.8964,17426,,4,2,0,0,50.7
5,2027-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3086,0,0,0,0,0,0,3086,-3086,,187500,437500,10772,0,25076,3585,664433,-667519,0,-667519,-3248191,31783799,49.3938,17693,,4,2,0,0,51.4
6,2027-03,5.0,0.0,0.0,0.0,1.5,3.5,0.0,0,0,0,0,0,0,3917,0,79,10,0,0,0,4006,-4006,,187500,437500,15090,0,62990,7808,710888,-714894,0,-714894,-3963084,31068906,45.4840,18287,,4,2,0,0,52.2
7,2027-04,5.0,0.0,0.0,0.0,1.5,3.5,0.0,0,0,0,0,0,0,3976,0,80,11,0,0,0,4068,-4068,,187500,437500,11180,0,25911,3709,665800,-669868,0,-669868,-4632952,30399038,44.4370,18567,,4,2,0,0,53.0
8,2027-05,5.0,0.0,0.0,0.0,1.5,3.5,0.0,0,0,0,0,0,0,4037,0,82,11,0,1709,0,5839,-5839,,187500,437500,11390,0,311093,32248,979731,-985570,0,-985570,-5618522,29413468,37.2270,18852,,4,2,0,0,53.8
9,2027-06,7.0,3.0,4.0,2.0,2.5,4.5,0.0,3255,1085,3255,0,0,3255,4427,0,111,15,81,1741,75000,81376,-78121,-24.0002,187500,437500,92374,0,52924,5780,776077,-854198,0,-854198,-6472720,28559270,34.1395,28021,8.6085,6,2,1,1,54.7
10,2027-07,14.8,6.8,8.0,0.2,5.6,9.2,0.0,7143,1052,6320,0,823,6320,5792,0,235,33,179,1773,75000,83011,-76691,-12.1348,187500,437500,109252,0,53826,7558,795636,-872327,0,-872327,-7345047,27686943,30.6261,28986,4.5864,6,2,1,1,55.5
